Year,Butter,Margarine,Lard,Edible beef tallow,Shortening,Salad and cooking oils,Other edible fats and oils,Added fats and oils,Light cream,Half and half,Heavy cream,Sour cream,Cream cheese,Eggnog,Dairy fats,Added fats and oils and dairy fats,Refined cane and beet sugar,High fructose corn syrup,Corn Glucose,Corn Dextrose,Corn sweeteners,Edible syrups,Honey,Added sugars,White and whole wheat,Durum flour,Wheat flour,Rye flour,Rice,Corn Flour and meal,Hominy and grits,Cornstarch,Corn products,Oat products,Barley products,Flour and cereal products*,Fresh Artichokes,Fresh Asparagus,Fresh Bell peppers,Fresh Broccoli,Fresh Brussels sprouts,Fresh Cabbage,Fresh Carrots,Fresh Cauliflower,Fresh Celery,Fresh Collard greens,Fresh Sweet corn,Fresh Cucumbers,Fresh Eggplant,Fresh Escarole /endive,Fresh Garlic,Fresh Head lettuce,Fresh Kale,Fresh Romaine and leaf lettuce,Fresh Lima beans,Fresh Mushrooms,Fresh Mustard greens,Fresh Okra,Fresh Onions,Fresh Potatoes,Fresh Pumpkin,Fresh Radishes,Fresh Snap beans,Fresh Spinach,Fresh Squash,Fresh Sweet potatoes,Fresh Tomatoes,Fresh Turnip greens,Fresh vegetables,Canned Asparagus,Canned Snap beans,Canned Cabbage,Canned Carrots,Canned Sweet corn,Canned Cucumbers,Canned Green peas,Canned Mushrooms,Canned Chile peppers,Canned Potatoes,Canned Tomatoes,Other canned vegetables,Canned vegetables,Frozen Asparagus,Frozen Snap beans,Frozen Broccoli,Frozen Carrots,Frozen Cauliflower,Frozen Sweet corn,Frozen Green peas,Frozen Lima beans,Frozen Potatoes,Frozen Spinach,Other frozen vegetables,Frozen vege-tables,Dehydrated Onions,Dehydrated Potatoes,Dehydrated vegetables,Chips and shoestring potatoes,Dry edible beans,Dry peas and lentils,Legumes,Total vege-tables,Fresh Oranges,Fresh Tangerines,Fresh Grapefruit,Fresh Lemons,Fresh Limes,Fresh citrus,Fresh Apples,Fresh Apricots,Fresh Avocados,Fresh Bananas,Fresh Blueberries,Fresh Cantaloupe,Fresh Cherries,Fresh Cranberries,Fresh Grapes,Fresh Honeydew melons,Fresh Kiwifruit,Fresh Mangoes,Fresh Peaches,Fresh Pears,Fresh Pineapple,Fresh Papayas,Fresh Plums,Fresh Raspberries,Fresh Strawberries,Fresh Watermelon,Fresh noncitrus fruit,Fresh fruit,Canned Apples and applesauce,Canned Apricots,Canned Cherries,Canned Olives,Canned Peaches,Canned Pears,Canned Pineapple,Canned Plums,Canned fruit,Frozen Blackberries,Frozen Blueberries,Frozen Raspberries,Frozen Strawberries,Frozen Other berries,Frozen berries,Frozen Apples,Frozen Apricots,Frozen Cherries,Frozen Peaches,Frozen Plums & prunes,Other frozen,Frozen fruit,Dried Apples,Dried Apricots,Dried Dates,Dried Figs,Dried Peaches,Dried Pears,Dried Plums,Dried Raisins,Dried fruit,Orange Juice,Grapefruit Juice,Lemon Juice,Lime Juice,Citrus juice Juice,Apple Juice,Cranberry Juice,Grape Juice,Pineapple Juice,Prune Juice,Noncitrus juice,Fruit juice,Total Fresh,Total Canned,Total Frozen,Total Dried,Total Juice,Total Fruit,Plain Milk Whole,Plain Milk 2 percent,Plain Milk 1 percent,Plain Milk Skim,Plain milk,Flavored Milk Whole,Flavored Milk Lower fat,Flavored milk,Buttermilk,Beverage milk,Yogurt,Fluid milk products,American Cheese Cheddar,American Cheese Other,American Cheese Total,Italian Cheese Mozzarella,Other Italian cheese,Italian Cheese Total,Swiss cheese,Brick,Muenster,Blue cheese,Other misc. cheeses,Total misc Cheese,Total Cheese,Cottage Cheese Regular,Cottage Cheese Lowfat,Cottage Cheese Total,Ice cream,Lowfat ice cream,Other Frozen Dairy,Total Frozen Dairy,Evaporated and Condensed Canned whole,Evaporated and Condensed Bulk whole,Evaporated and Condensed Skim,Evaporated and Condensed Total,Dry Milk Whole,Dry Milk Nonfat,Dry Milk Buttermilk,Dry Milk Total,Half and half,Eggnog,Cream products,Total dairy,Beef,Veal,Pork,Lamb,Red meat,Chicken,Turkey,Poultry,Fresh and Frozen Fish,Fresh and Frozen Shellfish,Total Fresh and Frozen fish and shellfish,Canned Salmon,Canned Sardines,Canned Tuna,Canned Shellfish,Canned Other,Canned Total,Cured,Fish and shellfish,"Total red meat, poultry, and fish",Eggs,Peanuts,Almonds,Hazelnuts,Pecans,Walnuts,Macadamia nuts,Pistachios,Other nuts,Tree nuts,Coconuts,Nuts,Total Meat,Total Eggs,Total Nuts,"Total Meat, eggs, and nuts","Percentage of daily total Meat, eggs, and nuts",Percentage of daily total Dairy,Percentage of daily total Fruit,Percentage of daily total Vegetables,Percentage of daily total Flour and cereal products,Percentage of daily total Added fats and oils and dairy fats*,Percentage of daily total Caloric sweeteners,Percentage of daily total Total,"Daily caloric total from Meat, eggs, and nuts",Daily caloric total from Dairy,Daily caloric total from Fruit,Daily caloric total from Vegetables,Daily caloric total from Flour and cereal products**,Daily caloric total from Added fats and oils and dairy fats*,Daily caloric total from Sugar and sweeteners (Added),Daily caloric total
1997,22.6,35.8,2.8,7.8,117.5,210.6,8.7,405.8,0.7,3.2,5.9,4.9,6,0.1,20.9,426.8,180.4,168.7,48.2,10.4,227.3,2.1,3.4,413.2,401.9,40,442,2.4,47.5,53.6,15.9,12.6,82.1,13.3,1.9,589.1,0.14,0.06,0.78,0.91,0.08,1.35,3.85,0.16,0.62,0.06,1.99,0.4,0.08,0.04,1.38,2.16,0.04,0.62,0.01,0.4,0.04,0.04,4.08,35.45,0.31,0.04,0.27,0.16,0.37,1.41,3.06,0.05,60.4,0.03,0.43,0.12,0.22,4.87,1.23,0.59,0.29,0.8,0.61,3.96,0.45,13.61,0.01,0.37,0.5,0.4,0.05,1.65,1.29,0.37,22.19,0.1,0.52,27.45,0.39,8.6,8.98,23.32,10.7,1.1,11.8,145.56,3.3,0.4,0.8,0.3,0.17,5,7.5,0.04,1.5,14.2,0.2,1,0.2,0.03,3.6,0.19,0.15,0.52,1.4,1.5,0.4,0.06,0.5,0,0.8,2,35.7,40.6,3.1,0.07,0.14,1.7,1.4,1.7,1.4,0.02,9.5,0.03,0.14,0.15,0.38,0.01,0.71,0.3,0.03,0.23,0.14,0.001,0.69,1.4,0.3,0.28,0.33,0.35,0.04,0.02,1.3,4.1,6.8,21.7,1.97,0.33,0.04,24.1,6.62,0.85,2.28,1.68,0.15,11.6,35.7,40.6,9.5,1.4,6.8,35.7,94,36.6,28.4,8,9.9,83,1.2,3.5,4.7,0.9,88.6,2.9,91.5,40.3,7.4,47.7,19.33,9.04,28.36,2.2,0.08,1.02,0.42,2.08,5.8,81.87,0.8,1,1.8,26.7,10.83,5.85,43.4,2,1,2.9,6,1.4,8.7,0.5,10.7,0.4,0.04,0.43,235.6,172.3,1.4,89.2,2,265,118.1,20.2,138.4,5.1,2.2,7.3,0.6,0.3,3.4,0.3,0.5,5,0.3,12.7,416,36.9,37.1,3,0.4,3.2,2.3,0.9,0.8,3.2,13.8,4,54.9,416,36.9,54.9,507.8,21,10,4,6,24,18,17,100,508,236,94,146,589,427,413,2412
1998,23.5,34.2,2.6,11.4,117.4,204.9,10.5,404.4,0.8,3.2,6,5,5.9,0.1,21,425.5,180.6,172.5,47.5,10.1,230.1,2.1,3.4,416.1,393.4,37,430.5,2.6,50,54.2,17.5,12.6,84.3,12.7,1.9,582,0.17,0.07,0.82,0.93,0.09,1.26,2.6,0.13,0.61,0.06,2.24,0.41,0.09,0.04,1.78,2.01,0.04,0.62,0.01,0.42,0.04,0.05,3.98,35.11,0.35,0.03,0.32,0.14,0.4,1.28,3.27,0.05,59.43,0.03,0.44,0.11,0.22,4.89,0.94,0.58,0.24,0.83,0.54,4.04,0.43,13.3,0,0.41,0.45,0.43,0.09,1.61,1.21,0.36,22.34,0.09,0.48,27.48,0.49,9.16,9.66,21.9,10.48,0.98,11.47,143.24,3.4,0.4,0.8,0.2,0.21,5,7.9,0.04,1.3,14.6,0.2,1.1,0.1,0.03,3.4,0.2,0.15,0.54,1.2,1.5,0.4,0.06,0.4,0,0.8,1.8,35.7,40.7,2.4,0.06,0.13,1.6,1.2,1.6,1.2,0.02,8.1,0.05,0.15,0.17,0.43,0,0.8,0.21,0.03,0.31,0.15,0.003,0.69,1.5,0.38,0.3,0.44,0.29,0.03,0.02,1.4,4.2,7.1,23.6,2.14,0.34,0.02,26.1,7.71,0.88,1.54,1.4,0.15,11.7,37.7,40.7,8.1,1.5,7.1,37.7,95.1,35.6,27.5,8.1,9.9,81.1,1.4,3.6,5,0.9,87,3,90,40.6,7.7,48.3,19.71,8.83,28.54,2.25,0.07,0.94,NA,2.76,6.01,82.87,0.8,1,1.8,27,11.29,6.07,44.4,1.7,0.8,2.9,5.4,1.6,8.4,0.5,10.5,0.4,0.04,0.43,235.4,174.8,1.1,96.2,2.2,274.4,119.1,20.7,139.8,4.8,2.6,7.4,0.4,0.3,3.7,0.3,0.3,5,0.3,12.7,426.8,38.3,37.6,3.2,0.3,3.3,2.4,0.9,0.8,3.2,14.2,4.3,56.2,426.8,38.3,56.2,521.3,22,10,4,6,24,18,17,100,521,235,95,143,582,425,416,2419
1999,25,32.5,2.4,13,120.5,215.9,12.3,421.6,1,3.4,6.4,5.1,6,0.1,22.1,443.7,184.3,177.3,45.4,9.7,232.4,2,3.8,422.6,398.4,34.8,433.2,2.3,50.3,55.2,18.8,12.3,86.3,12.5,1.8,586.4,0.19,0.08,0.82,1.13,0.08,1.13,2.52,0.16,0.62,0.06,2.18,0.42,0.09,0.03,2.27,2.25,0.04,0.71,0.01,0.43,0.04,0.05,4,35.75,0.33,0.03,0.37,0.14,0.4,1.23,3.37,0.05,60.97,0.04,0.43,0.1,0.21,4.82,0.99,0.56,0.27,0.82,0.62,3.89,0.49,13.25,0,0.42,0.46,0.38,0.06,1.65,1.3,0.37,22.54,0.1,0.62,27.9,0.98,6.86,7.84,23.69,11.23,0.73,11.96,145.62,2,0.4,0.8,0.2,0.2,3.6,7.7,0.04,1.7,16,0.2,1.1,0.2,0.04,3.7,0.2,0.15,0.59,1.3,1.6,0.5,0.08,0.4,0,0.9,1.9,38.3,41.9,2.7,0.05,0.14,2,1.2,1.6,1.6,0.02,9.3,0.04,0.17,0.15,0.42,0.01,0.78,0.2,0.03,0.19,0.16,0.002,0.59,1.4,0.31,0.24,0.39,0.26,0.04,0.02,1,4.1,6.4,23.4,2.06,0.24,0.02,25.7,7.66,1,2.46,1.59,0.14,12.8,38.6,41.9,9.3,1.4,6.4,38.6,97.5,35.8,27.4,8,9.5,80.7,1.6,3.7,5.3,0.9,86.8,3.1,89.9,42.4,8.7,51.1,20.68,8.53,29.21,2.43,0.07,0.78,NA,3.02,6.31,86.58,0.8,1,1.8,27.8,10.47,5.81,44.1,1.8,0.7,3.2,5.7,1.4,7.4,0.5,9.3,0.4,0.04,0.46,237.9,177,1,98.3,2.2,278.3,126.5,20.5,147.1,4.9,2.6,7.4,0.4,0.3,3.7,0.4,0.4,5.2,0.3,12.9,438.3,39.8,38.6,5.3,0.6,2.8,3.2,1,1,3.2,17.1,4,59.7,438.3,39.8,59.7,537.9,22,10,4,6,24,18,17,100,538,238,98,146,586,444,423,2472
2000,24.2,33.3,2.8,14.5,181.2,253.2,12.1,521.3,NA,3.6,NA,5.5,6.4,0.1,15.6,536.9,182.2,173.7,43.9,9.4,227,2.1,4,415.4,399.7,41.1,440.8,2.3,51,55.8,20.1,12.3,88.2,12.4,1.8,596.5,0.18,0.09,0.87,1.08,0.09,1.33,2.51,0.15,0.59,0.06,2.17,0.4,0.1,0.04,1.53,2.12,0.04,0.79,0.02,0.45,0.05,0.04,4.08,35.33,0.26,0.04,0.4,0.2,0.43,1.39,3.36,0.05,60.21,0.04,0.48,0.11,0.16,4.78,1.15,0.61,0.26,0.9,0.6,3.83,0.52,13.43,0.01,0.39,0.49,0.43,0.06,1.49,1.36,0.39,22.14,0.16,0.49,27.4,0.67,8.72,9.39,23.93,11.08,0.99,12.07,146.43,2.7,0.5,0.7,0.2,0.21,4.4,7.2,0.04,1.9,14.9,0.1,1.1,0.2,0.05,3.5,0.19,0.16,0.64,1.3,1.5,0.5,0.08,0.4,0,1,1.7,36.5,40.9,2.4,0.04,0.12,1.3,1.3,1.4,1.5,0.02,8,0.04,0.14,0.17,0.49,0.01,0.85,0.17,0.03,0.22,0.22,0.002,0.64,1.5,0.25,0.36,0.27,0.28,0.03,0.01,1.2,3.9,6.3,23,1.87,0.31,0.04,25.3,7.65,0.85,1.92,1.48,0.13,12,37.3,40.9,8,1.5,6.3,37.3,94,36,27.1,8.2,8.8,80.1,1.7,4.3,6,0.8,86.9,3.3,90.2,41.8,9.1,50.9,21.43,8.84,30.26,2.27,0.08,0.83,NA,3.43,6.61,87.75,0.8,1,1.8,27.7,9.92,5.59,43.2,1.9,0.6,2.8,5.3,1,7,0.6,8.6,0.4,0.05,0.48,237.2,177.6,0.9,95.2,2.1,275.8,128.1,20.3,148.4,4.8,2.7,7.5,0.4,0.3,4,0.4,0.4,5.5,0.3,13.3,437.5,39.4,37.2,4.4,0.4,3.3,2.8,0.9,1.2,2.9,15.8,4.3,57.4,437.5,39.4,57.4,534.3,21,9,4,6,23,21,16,100,534,237,94,146,596,537,415,2561
2001,23.5,28.3,4.1,11.1,186.4,267,11.4,531.8,NA,4,NA,5.9,5.9,0.1,15.9,547.7,179.2,172.9,43,9.2,225,2.5,3.4,410.2,382.9,42.3,425.2,2.3,51.7,56.8,21.4,12.1,90.2,12.8,1.8,584,0.18,0.08,0.86,0.99,0.07,1.32,2.56,0.13,0.6,0.06,2.2,0.39,0.11,0.04,1.67,2.07,0.04,0.75,0.02,0.44,0.05,0.05,3.99,34.89,0.23,0.04,0.43,0.15,0.41,1.45,3.39,0.04,59.73,0.04,0.45,0.1,0.17,4.63,0.88,0.54,0.23,0.9,0.56,3.58,0.54,12.62,0.01,0.4,0.45,0.35,0.06,1.52,1.26,0.3,22.37,0.13,0.56,27.4,0.45,8.2,8.64,26.63,10.14,0.88,11.02,146.04,2.8,0.5,0.7,0.3,0.23,4.4,6.5,0.02,2.2,13.9,0.2,1.1,0.2,0.05,3.5,0.16,0.13,0.65,1.3,1.5,0.5,0.1,0.4,0,0.9,1.9,35,39.4,2.6,0.04,0.12,2.2,1.2,1.4,1.3,0.01,8.9,0.04,0.16,0.19,0.57,0,0.96,0.2,0.04,0.2,0.22,0.002,0.66,1.6,0.26,0.33,0.32,0.28,0.03,0.01,1.1,3.8,6.2,21.3,1.93,0.41,0.05,23.7,7.62,0.72,1.86,1.52,0.14,11.9,35.5,39.4,8.9,1.6,6.2,35.5,91.6,34.8,26.7,8.1,8.5,78.2,1.8,4.5,6.2,0.8,85.2,3.5,88.7,41.8,9.5,51.3,22.12,8.77,30.89,2.5,0.08,0.79,NA,3.22,6.58,88.78,0.8,1,1.8,27.1,9.78,4.89,41.8,1.9,0.6,2.5,5,0.4,8.7,0.5,9.5,0.5,0.05,0.53,236.2,173.6,0.8,93.8,2.2,270.4,127.6,20.5,148.1,4.8,2.7,7.6,0.5,0.3,3.3,0.3,0.5,4.9,0.3,12.8,431.2,39.5,37.5,4.6,0.5,3.2,2.6,0.9,1.1,4.5,17.4,4.3,59.3,431.2,39.5,59.3,530,21,9,4,6,23,22,16,100,530,236,92,146,584,548,410,2546
2002,23.8,26.4,4.7,12.3,188.4,298,11.1,564.6,NA,NA,NA,6.1,6.2,0.1,12.4,577,175.8,173.7,42.9,9.1,225.7,2.4,3.8,407.7,370.7,41.8,412.5,2.3,50.8,57.7,22.7,12.1,92.5,12.9,1.8,572.7,0.19,0.09,0.88,0.99,0.06,1.24,2.3,0.13,0.59,0.06,2.15,0.42,0.09,0.04,1.72,2.03,0.04,0.9,0.03,0.45,0.04,0.04,4.18,33.17,0.22,0.04,0.41,0.2,0.45,1.25,3.59,0.04,58.02,0.04,0.4,0.1,0.15,4.17,1.27,0.44,0.26,1.02,0.5,3.79,0.44,12.56,0.01,0.37,0.46,0.33,0.03,1.53,1.08,0.36,21.12,0.13,0.82,26.25,0.47,8.17,8.63,24.94,9.85,0.91,10.75,141.15,2.7,0.5,0.6,0.3,0.17,4.3,6.6,0.03,2.1,14,0.2,1.1,0.2,0.04,3.9,0.18,0.11,0.72,1.3,1.4,0.6,0.1,0.4,0,0.9,1.8,35.7,40,2.2,0.04,0.02,1.9,1.3,1.2,1.4,0.01,8.2,0.04,0.11,0.15,0.5,0,0.79,0.15,0.03,0.19,0.2,0.001,0.56,1.4,0.26,0.22,0.4,0.34,0.03,0.01,1.3,4,6.6,20.8,1.67,0.26,0.03,22.8,7.68,0.89,2.07,1.56,0.12,12.3,35.1,40,8.2,1.4,6.6,35.1,91.2,34.5,26.6,8.1,8.4,77.5,1.7,4.7,6.4,0.7,84.7,4.1,88.7,41.3,9.9,51.2,22.21,9.12,31.33,2.42,0.09,0.77,NA,3.6,6.87,89.44,0.8,1,1.8,27.9,8.66,4.98,41.5,2.3,0.6,2.7,5.6,0.7,8.9,0.5,10.1,NA,0.06,0.06,237.2,177.5,0.8,96.1,2.2,276.6,134.2,20.7,154.9,5.1,3,8.1,0.7,0.2,3.5,0.3,0.5,5.1,0.3,13.5,445,39.9,37.3,5.9,0.5,3.3,3.3,0.8,1.2,5.1,20.1,4.2,61.6,445,39.9,61.6,546.5,21,9,4,5,22,22,16,100,546,237,91,141,573,577,408,2574
2003,24.1,21.3,4.6,13.8,186.7,301.7,10.6,562.9,NA,NA,NA,5.5,6.2,0.1,11.7,574.6,169.2,168.2,42.2,8.6,219,2.6,3.6,394.3,373.7,38.4,412.1,2.2,51.7,58.4,24,12.1,94.4,13.2,1.8,575.4,0.21,0.09,0.89,0.98,0.08,1.1,2.4,0.14,0.59,0.07,2.2,0.39,0.09,0.04,1.95,2,0.03,1.02,0.02,0.45,0.05,0.06,4.22,35.05,0.21,0.03,0.39,0.23,0.42,1.56,3.43,0.05,60.44,0.04,0.44,0.09,0.16,4.43,1.04,0.52,0.26,0.98,0.5,3.81,0.45,12.73,0.01,0.39,0.57,0.32,0.04,1.48,1.16,0.34,21.84,0.15,0.69,26.98,0.8,8.57,9.37,26.31,9.73,0.7,10.43,146.26,2.8,0.5,0.6,0.3,0.27,4.4,7,0.04,2.3,13.7,0.2,1.1,0.2,0.04,3.6,0.18,0.11,0.75,1.3,1.4,0.7,0.11,0.4,0.1,1.1,1.7,35.9,40.3,2.5,0.04,0.1,2.1,1.1,1.3,1.5,0.01,8.6,0.04,0.15,0.19,0.58,0.01,0.97,0.23,0.02,0.26,0.23,0.003,0.73,1.7,0.2,0.34,0.3,0.27,0.11,0.01,1.1,3.6,5.9,20.2,1.4,0.42,0.03,22,8.27,0.97,2.27,1.64,0.14,13.3,35.3,40.3,8.6,1.7,5.9,35.3,91.7,33.9,26.3,7.9,8,76.2,1.7,4.9,6.7,0.7,83.6,4.4,87.9,39.7,10.3,50,22.37,9.56,31.93,2.51,0.09,0.75,NA,3.78,7.13,89.05,0.8,1,1.8,27.4,10.02,4.71,42.1,2.4,0.9,2.4,5.7,0.7,8.8,0.5,10,NA,0.06,0.06,236.6,170.4,0.8,96.7,2.1,270,136,20.4,156.4,4.8,3.4,8.2,0.5,0.2,3.8,0.3,0.5,5.2,0.3,13.8,440.2,40.5,40.6,6.2,0.3,3.2,3.2,1,1.1,6.2,21.1,4.1,65.9,440.2,40.5,65.9,546.6,21,9,4,6,22,22,15,100,547,237,92,146,575,575,394,2566
2004,24.3,21.2,2.7,14.4,186.5,300,11.8,561.1,NA,NA,NA,5.7,6.3,0.1,12.1,573.2,171.1,165.6,43.4,9.2,218.2,2.3,3.2,394.9,370.9,34.4,405.2,2.2,51.5,59.3,25.2,11.8,96.4,13.2,1.8,570.4,0.2,0.1,0.92,0.98,0.08,1.2,2.38,0.14,0.59,0.07,2.15,0.4,0.09,0.04,1.77,1.92,0.03,1.13,0.02,0.45,0.05,0.07,4.74,34.35,0.25,0.04,0.37,0.26,0.41,1.56,3.53,0.05,60.32,0.04,0.44,0.09,0.16,4.37,1.15,0.49,0.27,1.07,0.43,3.85,0.52,12.88,0.01,0.41,0.58,0.31,0.04,1.49,1.01,0.22,21.95,0.17,0.68,26.88,0.64,7.65,8.29,25.18,8.62,0.73,9.34,142.89,2.5,0.5,0.6,0.3,0.28,4.1,7.8,0.04,2.7,13.5,0.3,1,0.3,0.04,3.6,0.17,0.12,0.73,1.3,1.3,0.7,0.13,0.3,0.1,1.1,1.6,36.8,41,2.5,0.04,0.07,1.9,1.2,1.2,1.4,0.01,8.3,0.03,0.1,0.16,0.52,0.02,0.83,0.15,0.02,0.27,0.21,0.002,0.66,1.5,0.22,0.24,0.28,0.27,0.1,0.01,0.9,3.9,6,20.4,1.37,0.26,0.06,22.1,9.04,0.96,2.16,1.31,0.16,13.6,35.7,41,8.3,1.5,6,35.7,92.5,32.5,26.3,7.9,7.9,74.6,1.5,5.4,6.8,0.7,82.1,4.7,86.7,43.2,8.6,51.8,22.9,9.78,32.68,2.67,0.07,0.68,NA,3.8,7.22,91.68,0.8,1,1.8,25.2,9.73,4.7,39.6,2,0.8,2.4,5.2,0.5,12.3,0.5,13.3,NA,0.05,0.05,238.4,173.3,0.7,95.6,2.1,271.8,140.1,20,160.1,4.7,3.7,8.4,0.4,0.2,3.7,0.4,0.5,5.2,0.3,13.9,445.8,40.2,42.5,4.9,0.4,3.4,3.3,1.2,1.5,6.6,21.4,3.8,67.7,445.8,40.2,67.7,553.7,22,9,4,6,22,22,15,100,554,238,92,143,570,573,395,2566
2005,24.4,16.3,5.6,13.7,166.5,321,12.9,560.4,NA,NA,NA,5.9,6.4,0.1,12.4,572.8,175.1,163.5,42.5,9,215,2.3,3.8,396.1,366.5,38.3,404.8,2.2,51.6,60,26.2,11.8,98,13.1,1.8,571.5,0.2,0.1,0.98,0.98,0.09,1.16,2.36,0.15,0.56,0.06,2.07,0.39,0.11,0.03,1.68,1.89,0.04,0.91,0.01,0.45,0.04,0.08,4.52,30.92,0.27,0.04,0.36,0.33,0.43,1.51,3.56,0.04,56.33,0.03,0.47,0.1,0.17,4.57,0.9,0.43,0.23,1.06,0.33,4.02,0.56,12.87,0,0.38,0.59,0.31,0.04,1.55,1.02,0.25,20.8,0.12,0.82,25.89,0.48,7.09,7.57,24.59,8.79,0.85,9.64,136.88,2.7,0.4,0.4,0.3,0.32,4.1,6.9,0.04,3,13.1,0.2,0.9,0.2,0.03,4,0.16,0.13,0.68,1.2,1.3,0.8,0.11,0.3,0,1.2,1.7,36.2,40.2,2.3,0.03,0.08,2.2,1.1,1.1,1.5,0.01,8.3,0.05,0.18,0.19,0.66,0.02,1.1,0.19,0.02,0.26,0.21,0.001,0.68,1.8,0.23,0.35,0.29,0.22,0.1,0.01,0.9,3.8,5.8,19.6,0.82,0.33,0.06,20.9,7.96,0.96,2.88,1.25,0.17,13.2,34.1,40.2,8.3,1.8,5.8,34.1,90.2,31.2,26.5,8,8.1,73.8,1.3,5.5,6.8,0.6,81.3,5.2,86.5,43,8.1,51,23.51,10.23,33.73,2.75,0.08,0.72,NA,3.87,7.42,92.19,0.8,1,1.8,26,8.96,4.76,39.7,2.1,0.8,2.7,5.6,0.5,10.6,0.6,11.7,NA,0.05,0.05,237.6,171.8,0.6,92.8,2,267.3,143,19.6,162.5,5.2,3.3,8.5,0.5,0.2,3.5,0.4,0.4,5,0.3,13.7,443.6,39.6,42.5,3.3,0.1,3.1,2.6,1,0.9,5.4,16.5,4,63,443.6,39.6,63,546.1,21,9,4,5,22,22,16,100,546,238,90,137,571,573,396,2551
2006,25.2,18.5,6.1,14.1,142.6,334.6,17.1,558.3,NA,NA,NA,6.4,6.6,0.1,13.1,571.4,172.7,160.8,38.2,8.6,207.6,2.4,4.2,386.8,369.5,39.8,409.2,2.2,54.1,60.6,27.5,11.5,99.7,13.3,1.8,580.2,0.24,0.1,1,1.06,0.09,1.16,2.21,0.15,0.57,0.05,2,0.38,0.11,0.04,1.86,1.81,0.03,1.13,0.01,0.44,0.03,0.08,4.31,28.9,0.26,0.04,0.41,0.28,0.44,1.54,3.5,0.05,54.29,0.03,0.47,0.1,0.14,4.44,0.7,0.46,0.26,1.11,0.28,3.52,0.5,12.02,0.01,0.4,0.49,0.32,0.04,1.55,1.01,0.31,20.38,0.09,0.84,25.45,0.76,6.9,7.66,28.52,9.34,1.38,10.72,138.67,2.4,0.5,0.3,0.4,0.34,3.9,7.3,0.02,3,13.1,0.3,0.9,0.3,0.03,3.5,0.16,0.13,0.76,1.1,1.4,0.8,0.13,0.3,0.1,1.2,1.9,36.7,40.6,2.3,0.02,0.06,1.2,1,1.1,1.5,0.01,7.2,0.03,0.15,0.18,0.65,0.03,1.05,0.19,0.01,0.33,0.17,0.006,0.7,1.7,0.31,0.32,0.36,0.23,0.06,NA,0.7,3.9,6,18.1,0.73,0.3,0.07,19.2,9.44,1.04,2.49,1.3,0.17,14.4,33.7,40.6,7.2,1.7,6,33.7,89.2,30.1,26.5,8.1,8.1,72.9,1.2,5.6,6.8,0.6,80.3,5.6,85.9,44.1,8.5,52.7,23.94,10.55,34.49,2.74,0.07,0.86,NA,3.92,7.59,94.74,0.8,1,1.8,26.4,9.15,4.88,40.4,2.1,0.8,3.1,5.9,0.4,7.5,0.7,8.6,NA,0.05,0.05,237.3,172.7,0.6,91.7,2,267,143.8,19.8,163.6,5.5,3.5,9,0.2,0.3,3.2,0.4,0.3,4.5,0.4,13.9,444.5,39.7,41.6,5.5,0.4,3.1,3.4,1,0.9,5.9,20.3,3.9,65.8,444.5,39.7,65.8,550,22,9,3,5,23,22,15,100,550,237,89,139,580,571,387,2554
2007,25.3,18.3,5.9,10.7,120.3,377,13.4,570.9,NA,NA,NA,6.4,6.7,0.1,13.2,584.1,170,155.3,38.1,8.3,201.6,2.2,3.3,377.1,376.4,40.1,416.6,2.2,54,60.9,28.8,11.5,101.3,13.5,1.8,589.3,0.22,0.1,0.99,1.05,0.1,1.21,2.19,0.15,0.59,0.05,2.2,0.4,0.11,0.03,1.89,1.66,0.04,1.07,0.01,0.42,0.02,0.08,4.71,28.89,0.27,0.04,0.43,0.23,0.39,1.73,3.39,0.04,54.68,0.03,0.42,0.08,0.14,3.64,0.88,0.48,0.25,1.02,0.31,3.75,0.5,11.5,0.01,0.44,0.58,0.24,0.04,1.64,1.17,0.29,20.35,0.13,0.79,25.68,0.44,7.23,7.67,28.47,9.19,0.87,10.07,138.06,1.7,0.5,0.4,0.3,0.34,3.2,6.6,0.05,3,13.7,0.3,0.9,0.3,0.04,3.7,0.15,0.12,0.75,1.1,1.2,0.8,0.14,0.3,0.1,1.3,1.8,36.3,39.5,2.2,0.03,0.06,2.1,1.2,1.1,1.3,0.01,8,0.04,0.16,0.19,0.59,0.02,1,0.2,0.02,0.34,0.26,0.002,0.8,1.8,0.29,0.31,0.28,0.2,0.12,NA,0.7,3.8,5.7,17.1,1.02,0.28,0.05,18.4,9.71,0.99,3.16,1.05,0.22,15.1,33.6,39.5,8,1.8,5.7,33.6,88.6,28.8,26.6,8.2,8.1,71.8,1.1,5.5,6.7,0.6,79,5.8,84.9,42.8,8.7,51.5,25.22,10.96,36.18,2.77,0.06,0.93,NA,3.98,7.74,95.39,0.7,1.1,1.8,25.4,9.15,5.1,39.7,1.8,0.8,4.1,6.7,0.6,7.4,0.6,8.6,NA,0.05,0.05,237,170.9,0.6,94.2,2.1,267.7,141.5,20.5,162,5.6,3.3,8.9,0.4,0.3,3,0.4,0.4,4.6,0.3,13.8,443.5,38.8,40.2,6.5,0.3,3.1,3,0.8,1.3,6.5,21.6,4.1,65.8,443.5,38.8,65.8,548,21,9,3,5,23,23,15,100,548,237,89,138,589,584,377,2562
